index,Unnamed: 0,Ingredient,Text,Recipe_Index,Rating,Quantity,Unit
156,157,all purpose flour,4.0 cups all purpose flour,Misc_60,,4.0,cup
157,158,all purpose flour,2.25 cups unsifted flour,Misc_61,,2.25,cup
158,159,all purpose flour,3.0 cup all purpose flour,Misc_62,,3.0,cup
159,160,all purpose flour,4.0 cups flour,Misc_63,,4.0,cup
160,161,all purpose flour,"2.4 cups unbleached, all purpose flour",Misc_64,,2.4,cup
161,162,all purpose flour,2.25 cups all purpose flour,Misc_65,,2.25,cup
162,163,all purpose flour,2.0 cup flour,Misc_67,,2.0,cup
163,164,all purpose flour,3.5 cups 210 g all purpose flour*,Misc_68,,3.5,cup
164,165,all purpose flour,6.0 cups all purpose flour more as needed â see video,Misc_69,,6.0,cup
165,166,all purpose flour,4.0 cups all purpose flour,Misc_7,,4.0,cup
166,167,all purpose flour,3.33333333333 cups all purpose flour see note,Misc_70,,3.333333333,cup
167,168,all purpose flour,9.6 cups 284 g all purpose flour,Misc_72,,9.6,cup
168,169,all purpose flour,"3.0 Â¹ââ cups unbleached, all purpose flour",Misc_73,,3.0,cup
169,170,all purpose flour,4.0 cups flour,Misc_74,,4.0,cup
170,171,all purpose flour,5.92592592593 cups all purpose flour,Misc_75,,5.925925926,cup
171,172,all purpose flour,7.0 cups all purpose flour,Misc_76,,7.0,cup
172,173,all purpose flour,4.57142857143 cups all purpose flour,Misc_77,,4.571428571,cup
173,174,all purpose flour,4.0 cup | 200g all purpose flour,Misc_78,,4.0,cup
174,175,all purpose flour,6.85714285714 cups all purpose flour,Misc_79,,6.857142857,cup
175,176,all purpose flour,1.74545454545 cups flour,Misc_8,,1.745454545,cup
176,177,all purpose flour,6.0 cups all purpose flour use the spoon and level method,Misc_80,,6.0,cup
177,178,all purpose flour,5.33333333333 cups all purpose flour,Misc_81,,5.333333333,cup
178,179,all purpose flour,5.14285714286  1 2/3 cup all purpose flour use more if needed see post for details,Misc_82,,5.142857143,cup
179,180,all purpose flour,6.46153846154 cups all purpose flour,Misc_84,,6.461538462,cup
